84	6	2.7	5.1	1.6	"c"
85	5.4	3	4.5	1.5	"a"
86	6	3.4	4.5	1.6	"b"
87	6.7	3.1	4.7	1.5	"c"
88	6.3	2.3	4.4	1.3	"a"
89	5.6	3	4.1	1.3	"b"
90	5.5	2.5	4	1.3	"c"
91	5.5	2.6	4.4	1.2	"a"
92	6.1	3	4.6	1.4	"b"
93	5.8	2.6	4	1.2	"c"
94	5	2.3	3.3	1	"a"
95	5.6	2.7	4.2	1.3	"b"
96	5.7	3	4.2	1.2	"c"
97	5.7	2.9	4.2	1.3	"a"
98	6.2	2.9	4.3	1.3	"b"
99	5.1	2.5	3	1.1	"c"
100	5.7	2.8	4.1	1.3	"a"
101	6.3	3.3	6	2.5	"b"
102	5.8	2.7	5.1	1.9	"c"
103	7.1	3	5.9	2.1	"a"
104	6.3	2.9	5.6	1.8	"b"
105	6.5	3	5.8	2.2	"c"
106	7.6	3	6.6	2.1	"a"
107	4.9	2.5	4.5	1.7	"b"
108	7.3	2.9	6.3	1.8	"c"
109	6.7	2.5	5.8	1.8	"a"
110	7.2	3.6	6.1	2.5	"b"
111	6.5	3.2	5.1	2	"c"
112	6.4	2.7	5.3	1.9	"a"
113	6.8	3	5.5	2.1	"b"
114	5.7	2.5	5	2	"c"
115	5.8	2.8	5.1	2.4	"a"
116	6.4	3.2	5.3	2.3	"b"
117	6.5	3	5.5	1.8	"c"
118	7.7	3.8	6.7	2.2	"a"
119	7.7	2.6	6.9	2.3	"b"
120	6	2.2	5	1.5	"c"
121	6.9	3.2	5.7	2.3	"a"
122	5.6	2.8	4.9	2	"b"
123	7.7	2.8	6.7	2	"c"
124	6.3	2.7	4.9	1.8	"a"
125	6.7	3.3	5.7	2.1	"b"
126	7.2	3.2	6	1.8	"c"
127	6.2	2.8	4.8	1.8	"a"
128	6.1	3	4.9	1.8	"b"
129	6.4	2.8	5.6	2.1	"c"
130	7.2	3	5.8	1.6	"a"
131	7.4	2.8	6.1	1.9	"b"
132	7.9	3.8	6.4	2	"c"
133	6.4	2.8	5.6	2.2	"a"
134	6.3	2.8	5.1	1.5	"b"
135	6.1	2.6	5.6	1.4	"c"
136	7.7	3	6.1	2.3	"a"
137	6.3	3.4	5.6	2.4	"b"
138	6.4	3.1	5.5	1.8	"c"
139	6	3	4.8	1.8	"a"
140	6.9	3.1	5.4	2.1	"b"
141	6.7	3.1	5.6	2.4	"c"
142	6.9	3.1	5.1	2.3	"a"
143	5.8	2.7	5.1	1.9	"b"
144	6.8	3.2	5.9	2.3	"c"
145	6.7	3.3	5.7	2.5	"a"
146	6.7	3	5.2	2.3	"b"
147	6.3	2.5	5	1.9	"c"
148	6.5	3	5.2	2	"a"
149	6.2	3.4	5.4	2.3	"b"
150	5.9	3	5.1	1.8	"c"
