"sex";"age_years";"KinshipR";"MutualismR";"ExchangeR";"HawkR";"DoveR";"DivisionR";"PossessionR";"KinshipJ";"MutualismJ";"ExchangeJ";"HawkJ";"DoveJ";"DivisionJ";"PossessionJ"
"Female";57;62.3333333333333;61.3333333333333;49.6666666666667;56.6666666666667;46.3333333333333;72.6666666666667;67.3333333333333;55.6666666666667;68;74.6666666666667;38;29.6666666666667;54.3333333333333;51
"Female";52;90.6666666666667;96.3333333333333;69.6666666666667;72.6666666666667;66.3333333333333;47.6666666666667;43;75;47.6666666666667;62.6666666666667;75.6666666666667;28.6666666666667;37.6666666666667;39.6666666666667
"Female";43;50.3333333333333;44.6666666666667;56.3333333333333;54.6666666666667;34.6666666666667;26.6666666666667;55;54.3333333333333;78;46.3333333333333;74;73;79.3333333333333;40.6666666666667
"Female";30;74.6666666666667;63.6666666666667;81;42.6666666666667;51.3333333333333;41;68;93;45.3333333333333;81.6666666666667;91;53;49.3333333333333;46
"Female";54;70.6666666666667;49.3333333333333;52;43.6666666666667;38;39;48.3333333333333;80.6666666666667;67.6666666666667;79;74;16.6666666666667;75;32.3333333333333
"Female";58;98.6666666666667;79.3333333333333;83;92.6666666666667;50.3333333333333;40.6666666666667;91.3333333333333;81.6666666666667;85.3333333333333;79.6666666666667;86;72.6666666666667;83.3333333333333;32.6666666666667
"Female";50;66.3333333333333;60.3333333333333;82.6666666666667;47.3333333333333;52.6666666666667;64;76.6666666666667;77;73;77;61.6666666666667;70.6666666666667;46.6666666666667;49.3333333333333
"Female";34;67;51.6666666666667;77.3333333333333;66.6666666666667;14.3333333333333;52.3333333333333;86.3333333333333;67.3333333333333;70.3333333333333;78;62.6666666666667;33.6666666666667;71.6666666666667;12.6666666666667
"Male";48;70.6666666666667;59.3333333333333;64.6666666666667;60.3333333333333;52.6666666666667;50.3333333333333;41;66.3333333333333;68;75.3333333333333;64.3333333333333;59.6666666666667;85;22.3333333333333
"Male";50;75.3333333333333;59.6666666666667;62.3333333333333;71.3333333333333;70.6666666666667;69;71;82;61;72;62.6666666666667;66;74.3333333333333;39.3333333333333
"Male";26;49;33.3333333333333;28.6666666666667;52;39;25;33.3333333333333;65.3333333333333;42.6666666666667;59.6666666666667;52;40.3333333333333;58;56.3333333333333
"Female";31;85.3333333333333;63.3333333333333;76;72;71.6666666666667;65.6666666666667;87.6666666666667;56.6666666666667;67.3333333333333;68.6666666666667;74;71.3333333333333;75.3333333333333;42.3333333333333
"Female";36;60.3333333333333;45.3333333333333;92.3333333333333;57.3333333333333;42.6666666666667;58.6666666666667;75;71.3333333333333;37.6666666666667;70.6666666666667;45;46;69;56
"Male";48;70.3333333333333;72.3333333333333;64.3333333333333;63.3333333333333;34.6666666666667;72.3333333333333;75;77.3333333333333;76.6666666666667;82;56.6666666666667;44.6666666666667;76.3333333333333;50
"Male";32;62.6666666666667;41.6666666666667;68.3333333333333;52.3333333333333;58.6666666666667;46.3333333333333;76.6666666666667;61.3333333333333;51.6666666666667;66.3333333333333;54;43.6666666666667;53;34.6666666666667
"Female";60;93;98.6666666666667;95;97;71;73.6666666666667;89.6666666666667;87.3333333333333;78;93.3333333333333;94.3333333333333;75;96.3333333333333;79
"Female";34;71.6666666666667;56.3333333333333;45.6666666666667;51;45.3333333333333;41.3333333333333;59.3333333333333;69.6666666666667;55.6666666666667;58.3333333333333;42.3333333333333;40.3333333333333;67.6666666666667;17.3333333333333
"Female";54;79.6666666666667;58;84.3333333333333;60.3333333333333;56.3333333333333;64.6666666666667;79.3333333333333;76;60;83;51;63.3333333333333;44.6666666666667;12
"Female";53;79.3333333333333;84.6666666666667;94.3333333333333;60;53.6666666666667;76.6666666666667;69.3333333333333;90.3333333333333;71.3333333333333;61;84;61.6666666666667;68.6666666666667;34.6666666666667
"Male";61;89;75.6666666666667;84.6666666666667;55;26;50.3333333333333;60.3333333333333;52.3333333333333;62.3333333333333;71.3333333333333;60.3333333333333;49;84;20
"Female";46;97.3333333333333;86;83;96.3333333333333;76.3333333333333;68.3333333333333;93.3333333333333;89.3333333333333;82;82.6666666666667;54.3333333333333;73;68.6666666666667;5
"Female";23;79.3333333333333;77.3333333333333;54.3333333333333;51;74;66.6666666666667;41;63.6666666666667;82;64.6666666666667;72;65.3333333333333;62.3333333333333;23.6666666666667
"Female";36;68.6666666666667;46;69.3333333333333;52.3333333333333;61.3333333333333;69;67.3333333333333;53.3333333333333;49.6666666666667;68.3333333333333;60.3333333333333;63.3333333333333;69;50
"Female";28;45;54.3333333333333;60.6666666666667;71;48;42.3333333333333;51.3333333333333;28.3333333333333;71.6666666666667;61;17.3333333333333;26;85;55.3333333333333
"Female";39;87.3333333333333;76.3333333333333;77.3333333333333;64;59;45;35;85.6666666666667;61.3333333333333;78;31;41.3333333333333;55;16.3333333333333
"Female";63;78.6666666666667;83;66.3333333333333;60;63.6666666666667;72.6666666666667;75;58.6666666666667;72;73.6666666666667;80.3333333333333;39;90;19.3333333333333
"Male";33;72;35;47.3333333333333;47;42.3333333333333;53.3333333333333;47.6666666666667;69.6666666666667;82.6666666666667;86.6666666666667;53;69;68.3333333333333;64.6666666666667
"Female";54;77.3333333333333;75.6666666666667;75.3333333333333;83;57.3333333333333;78;70.3333333333333;63.6666666666667;69.6666666666667;81.6666666666667;85;62;87.6666666666667;23
"Female";34;95;57.3333333333333;97.6666666666667;60.6666666666667;70;62;61;82.3333333333333;58.6666666666667;76;63.6666666666667;64.3333333333333;98.3333333333333;56.3333333333333
"Female";55;71.3333333333333;87.3333333333333;68.6666666666667;80.6666666666667;60.6666666666667;37.3333333333333;61;90;59;77.3333333333333;74.6666666666667;72.3333333333333;72;40.6666666666667
"Female";48;59;57;48;74.3333333333333;71.6666666666667;54.6666666666667;76.3333333333333;64.6666666666667;45;68.6666666666667;66;67.3333333333333;40;14.6666666666667
"Female";71;79;58;51;76.3333333333333;36.6666666666667;45.6666666666667;78.6666666666667;83.3333333333333;86;81;49.6666666666667;40.3333333333333;88;22.3333333333333
"Female";63;85.3333333333333;86.6666666666667;83;82.3333333333333;81;74.3333333333333;68.6666666666667;73.6666666666667;90;76.6666666666667;60.3333333333333;64;70;47
"Female";62;40.6666666666667;59.3333333333333;63;56.6666666666667;59.6666666666667;47.6666666666667;62.3333333333333;66.3333333333333;51.3333333333333;86.6666666666667;72.3333333333333;46.3333333333333;67;20.6666666666667
"Male";56;56;47.6666666666667;53.3333333333333;77.3333333333333;46.6666666666667;40;29.3333333333333;78.6666666666667;71;82;62.6666666666667;59.3333333333333;27;15.6666666666667
"Male";57;47;27.3333333333333;31.3333333333333;32;19.6666666666667;47.6666666666667;54.6666666666667;70;59;58.3333333333333;82.6666666666667;52.3333333333333;56;13
"Male";40;57;67;66.3333333333333;59.6666666666667;42.3333333333333;55;65.3333333333333;45.3333333333333;71;58.6666666666667;41;32;93.6666666666667;8
"Female";43;72.6666666666667;64.3333333333333;76.3333333333333;73;56;65.3333333333333;79.6666666666667;69.6666666666667;52.3333333333333;58;54.3333333333333;52.3333333333333;57;55.6666666666667
"Female";40;64.3333333333333;67.3333333333333;61.6666666666667;57.6666666666667;67;68.6666666666667;49;72.3333333333333;47.6666666666667;90;55;67.6666666666667;77;45.6666666666667
"Female";24;46.3333333333333;47.3333333333333;52.3333333333333;28.3333333333333;34;44.6666666666667;50.3333333333333;55;40.6666666666667;61;46.6666666666667;66.3333333333333;66.3333333333333;50.3333333333333
"Female";51;64.6666666666667;64;82.6666666666667;58;24;55;47;56.3333333333333;64.6666666666667;45.6666666666667;36.3333333333333;66.6666666666667;71.6666666666667;19.3333333333333
"Female";46;56.6666666666667;53.6666666666667;67.6666666666667;55.6666666666667;69.3333333333333;58.6666666666667;80.6666666666667;76.6666666666667;70.3333333333333;76;73.6666666666667;73;65;29
"Male";45;52.3333333333333;71.6666666666667;77.3333333333333;61.6666666666667;68.3333333333333;58.6666666666667;69;62;51.6666666666667;75;89;58;79;24
"Male";47;90;79.3333333333333;59;85.3333333333333;66;74;99;61.3333333333333;81.3333333333333;86.3333333333333;82.3333333333333;85.3333333333333;70;41.3333333333333
"Male";30;53;69;67.3333333333333;54;60;50.3333333333333;57.6666666666667;73.3333333333333;61;61.6666666666667;65.6666666666667;62.6666666666667;71.3333333333333;73.3333333333333
"Female";48;74.6666666666667;39.3333333333333;89.3333333333333;42;74.3333333333333;44;83.6666666666667;46.3333333333333;66.6666666666667;82;59.3333333333333;72.3333333333333;69.3333333333333;18
"Female";34;69.6666666666667;39.3333333333333;63;67;47.6666666666667;59.3333333333333;52.6666666666667;61;64.6666666666667;64.6666666666667;57.3333333333333;71.3333333333333;53.3333333333333;66.3333333333333
"Female";60;66.6666666666667;59.3333333333333;48.6666666666667;36.6666666666667;39.3333333333333;42.6666666666667;43;56.3333333333333;36.3333333333333;52.3333333333333;67.3333333333333;48.6666666666667;55.3333333333333;20.6666666666667
"Female";45;55.3333333333333;39.6666666666667;50;49.6666666666667;42;44.6666666666667;42.3333333333333;60.3333333333333;72.3333333333333;56.3333333333333;65.6666666666667;46.3333333333333;73.6666666666667;58.3333333333333
"Male";42;62.3333333333333;61.6666666666667;60.6666666666667;72.3333333333333;66;61.6666666666667;73.3333333333333;72;78.3333333333333;81.6666666666667;71.3333333333333;64;79.6666666666667;25
"Male";54;25.3333333333333;63.3333333333333;44.6666666666667;48;21.6666666666667;38.6666666666667;26;39;76.6666666666667;52.3333333333333;58.3333333333333;19;88.6666666666667;45
"Female";40;44;41;38;43.6666666666667;47;32.6666666666667;43;64;30.3333333333333;47.3333333333333;62.6666666666667;61;67;56
"Female";33;58.3333333333333;62.3333333333333;54;59.3333333333333;54.3333333333333;56.3333333333333;68.3333333333333;65;44.6666666666667;60.3333333333333;59.3333333333333;39;57;55
"Female";42;86.3333333333333;86.3333333333333;88.6666666666667;56.6666666666667;20.6666666666667;90.3333333333333;75;70;85.3333333333333;71;68.6666666666667;63.3333333333333;87.3333333333333;49.6666666666667
"Male";52;50.6666666666667;54.3333333333333;52;43.6666666666667;47;53.6666666666667;62.6666666666667;53;61;57.6666666666667;37;62;60.6666666666667;48.6666666666667
"Female";33;80;73.3333333333333;88.6666666666667;64.6666666666667;53;85;73.6666666666667;43;77.6666666666667;66.3333333333333;71;54.3333333333333;40.3333333333333;54
"Male";41;79;83.3333333333333;80;78.6666666666667;79;80.3333333333333;73;95.6666666666667;73.3333333333333;76.3333333333333;77;42.3333333333333;66.6666666666667;53.3333333333333
"Female";43;72.6666666666667;73.6666666666667;68.6666666666667;84.6666666666667;39.6666666666667;67.6666666666667;65;27.6666666666667;31.6666666666667;73.3333333333333;82.3333333333333;18.3333333333333;34;69
"Female";36;51.3333333333333;56.3333333333333;74.6666666666667;50;45.3333333333333;50.3333333333333;59.3333333333333;56.3333333333333;81;77;58.3333333333333;43.6666666666667;83;45.6666666666667
"Female";24;75.6666666666667;60;54;74;69;62.3333333333333;78.6666666666667;66.3333333333333;61.6666666666667;76;86.3333333333333;75.3333333333333;94.3333333333333;49
"Female";56;89;63;79.3333333333333;66.3333333333333;67.6666666666667;44;93.3333333333333;75.3333333333333;83;80.3333333333333;79.6666666666667;42.3333333333333;77.3333333333333;21.6666666666667
"Male";52;50;49;84.6666666666667;83;48.3333333333333;53.3333333333333;37.6666666666667;77.3333333333333;56;63.6666666666667;42;44.3333333333333;84.3333333333333;81.6666666666667
"Female";37;69;69;69.6666666666667;61.3333333333333;69;79;76;67.3333333333333;84;83;65.3333333333333;48.3333333333333;93.6666666666667;47.3333333333333
"Male";39;92.3333333333333;60.6666666666667;94.3333333333333;77.6666666666667;37.3333333333333;65.6666666666667;89;85.3333333333333;50.3333333333333;77.6666666666667;74.6666666666667;39.6666666666667;69.3333333333333;51.6666666666667
"Female";41;56.3333333333333;57;64.3333333333333;53.3333333333333;10.3333333333333;46.6666666666667;65.3333333333333;51;44.3333333333333;75.6666666666667;40.6666666666667;18.3333333333333;84.3333333333333;18
"Male";57;64;64.3333333333333;69;69;65;62;70.3333333333333;71.6666666666667;73.6666666666667;67.6666666666667;59.3333333333333;51;60.3333333333333;40.3333333333333
"Male";60;83.6666666666667;50.6666666666667;80.6666666666667;71.6666666666667;40.6666666666667;22.6666666666667;54.6666666666667;86.6666666666667;74;92;71;34.6666666666667;74;48.3333333333333
"Male";36;72.6666666666667;68.3333333333333;58.6666666666667;60;46.6666666666667;57.6666666666667;69.6666666666667;69;64.6666666666667;72;44.3333333333333;76.3333333333333;56;39
"Female";45;54.6666666666667;51.3333333333333;77.3333333333333;57.6666666666667;69.3333333333333;54.6666666666667;75;69;75;64;81.6666666666667;55.3333333333333;69.3333333333333;37.6666666666667
"Female";34;95.3333333333333;73.3333333333333;81;66;62;60.3333333333333;97.6666666666667;88.6666666666667;67;68.6666666666667;40;54.3333333333333;88;58.3333333333333
"Female";37;69.3333333333333;67.6666666666667;74.3333333333333;83;57.6666666666667;61.3333333333333;78;63.6666666666667;71.3333333333333;58.6666666666667;71.3333333333333;61;64;36.3333333333333
"Female";33;64.3333333333333;67.3333333333333;56.3333333333333;70.3333333333333;27.6666666666667;47;50.3333333333333;90;85.3333333333333;93;78.3333333333333;76.6666666666667;98;46.3333333333333
"Female";35;59.6666666666667;39;58.6666666666667;84.6666666666667;48.6666666666667;42.6666666666667;48.3333333333333;78.6666666666667;78.6666666666667;56.6666666666667;45.6666666666667;57.3333333333333;70.3333333333333;51.3333333333333
"Female";49;70.3333333333333;62.6666666666667;63.3333333333333;58.6666666666667;71.3333333333333;38.6666666666667;66.3333333333333;70.3333333333333;57.3333333333333;84.6666666666667;58;43.3333333333333;56;39.6666666666667
"Female";28;68;58.6666666666667;66.3333333333333;67.6666666666667;60.3333333333333;60.6666666666667;83.6666666666667;71;62;64;75.3333333333333;63;70;45.3333333333333
"Male";30;68.3333333333333;54.3333333333333;31.3333333333333;48.3333333333333;42.6666666666667;19.3333333333333;30.6666666666667;63.6666666666667;39;69;60;47;43.3333333333333;22.6666666666667
"Male";48;51.6666666666667;51;59.6666666666667;57;55.3333333333333;53.6666666666667;72.3333333333333;68.6666666666667;62;61;56;47;80.6666666666667;56.3333333333333
"Female";57;58.3333333333333;45.6666666666667;49.6666666666667;49.6666666666667;43.6666666666667;46.3333333333333;47;61.3333333333333;56.6666666666667;68.6666666666667;60.6666666666667;57;64.6666666666667;32.3333333333333
"Female";32;62.6666666666667;53.3333333333333;89.3333333333333;49;9.33333333333333;61.6666666666667;90.6666666666667;87.3333333333333;66;73.6666666666667;68.6666666666667;56.3333333333333;50.3333333333333;63
"Male";40;79;38;65.6666666666667;69;59.3333333333333;73.3333333333333;72.3333333333333;78.3333333333333;55;79;88;74;86.3333333333333;61.6666666666667
"Male";61;86.3333333333333;83.3333333333333;71.6666666666667;74.6666666666667;75.3333333333333;69.6666666666667;75.6666666666667;88.3333333333333;79.3333333333333;73;58.6666666666667;48.3333333333333;80.6666666666667;23
"Male";50;81.3333333333333;38.6666666666667;86.3333333333333;75.6666666666667;33.6666666666667;78;81;57;67;60.3333333333333;74.3333333333333;43;73.3333333333333;60.6666666666667
"Male";53;71.6666666666667;40.3333333333333;61.6666666666667;26.6666666666667;54;45.6666666666667;40.6666666666667;80.3333333333333;66;56.6666666666667;68.3333333333333;60.6666666666667;83.3333333333333;49.3333333333333
"Female";44;77.3333333333333;59.3333333333333;59.3333333333333;81;70.6666666666667;61.3333333333333;83.6666666666667;67.6666666666667;41.3333333333333;80.3333333333333;80;52.6666666666667;66;38.3333333333333
"Male";49;60.3333333333333;70.3333333333333;59;58.3333333333333;59;59.6666666666667;72.3333333333333;62.3333333333333;44;57.3333333333333;78;76.6666666666667;73;37
"Female";64;82;84.3333333333333;89.3333333333333;75.3333333333333;57;41.3333333333333;94.6666666666667;78;56;84.3333333333333;54.3333333333333;48;57.6666666666667;34.6666666666667
"Male";46;81.6666666666667;74.3333333333333;82;48.3333333333333;64;59.6666666666667;91.3333333333333;84;71.3333333333333;82.3333333333333;82.6666666666667;69.3333333333333;66.6666666666667;47.6666666666667
"Male";60;52;40;49.3333333333333;52.6666666666667;46;28.3333333333333;36.3333333333333;45.3333333333333;57.3333333333333;52.6666666666667;55;51;56.3333333333333;36
"Male";45;54.6666666666667;44;55.3333333333333;64.6666666666667;50.6666666666667;55.6666666666667;61.3333333333333;71;36;47.6666666666667;60.3333333333333;85.6666666666667;70;49.3333333333333
"Male";51;76.6666666666667;54.6666666666667;70.3333333333333;67.3333333333333;42.6666666666667;76.6666666666667;78.3333333333333;86.3333333333333;84.3333333333333;62.3333333333333;79;63.3333333333333;49.6666666666667;31.3333333333333
"Male";32;44.6666666666667;70;88;61;65;84;62;70.6666666666667;87;87;74.6666666666667;77;89.3333333333333;32
"Female";26;68.6666666666667;61.6666666666667;69.6666666666667;66.3333333333333;64;68.6666666666667;65;67;71.3333333333333;73;84;75;68.6666666666667;52.6666666666667
"Male";55;83.6666666666667;73;85;70;70;75.6666666666667;67.6666666666667;62.3333333333333;89;82.6666666666667;60.6666666666667;41.3333333333333;45.3333333333333;29.6666666666667
"Male";52;61.6666666666667;37.6666666666667;58.6666666666667;26.3333333333333;58;62;85.6666666666667;78.3333333333333;82.6666666666667;74.3333333333333;38.6666666666667;43.6666666666667;80;26
"Female";50;78.3333333333333;70;64;55.3333333333333;70.6666666666667;62.6666666666667;74.6666666666667;78.3333333333333;60.6666666666667;72.3333333333333;63.3333333333333;47.3333333333333;90;39
"Female";58;64.3333333333333;78.6666666666667;92.6666666666667;64.3333333333333;93;64.3333333333333;86.3333333333333;86;73.6666666666667;73.6666666666667;63;50.6666666666667;82.3333333333333;24
"Female";28;76.3333333333333;71.6666666666667;69.3333333333333;67.6666666666667;62.3333333333333;52.3333333333333;86.6666666666667;83.6666666666667;89.3333333333333;87.6666666666667;62.3333333333333;55.3333333333333;96.6666666666667;37.3333333333333
"Female";34;76.3333333333333;48.3333333333333;42.6666666666667;46;39;31;51.6666666666667;59.3333333333333;58;49.6666666666667;65;61.3333333333333;26.6666666666667;40
"Male";60;76;57.3333333333333;78;67.3333333333333;66.6666666666667;77.6666666666667;83.3333333333333;43.3333333333333;64.6666666666667;68.3333333333333;55;44.6666666666667;57;37
"Male";53;66.6666666666667;61;68.6666666666667;68.6666666666667;61.3333333333333;60;64.3333333333333;75;77.3333333333333;81.6666666666667;70.6666666666667;47;96.6666666666667;4
"Male";56;61.6666666666667;61.3333333333333;64.6666666666667;76.3333333333333;63;63;91;49.3333333333333;29.6666666666667;85;61.3333333333333;40.3333333333333;65.6666666666667;43
"Male";56;68.6666666666667;55.3333333333333;52.3333333333333;56.6666666666667;17.3333333333333;49.6666666666667;68;55.6666666666667;44.3333333333333;92.3333333333333;55.3333333333333;58.6666666666667;66.3333333333333;37.6666666666667
"Female";32;56;53.3333333333333;65;25.6666666666667;37.6666666666667;32.3333333333333;31;59;53;75.3333333333333;34.6666666666667;45;61.3333333333333;44.6666666666667
"Male";46;51.3333333333333;52;55;66;45;65;66.3333333333333;66;52.3333333333333;71.3333333333333;36;38.6666666666667;62.6666666666667;34.3333333333333
"Male";49;84.6666666666667;82;45;46;62.6666666666667;88;88;69.3333333333333;62.3333333333333;91;60.3333333333333;74.3333333333333;81.6666666666667;55.6666666666667
"Female";43;66.6666666666667;61.3333333333333;61;64.3333333333333;60;70;74.6666666666667;70.6666666666667;64;77.3333333333333;64.6666666666667;53.3333333333333;77.3333333333333;65.3333333333333
"Male";56;58.6666666666667;13.6666666666667;14.3333333333333;27.3333333333333;26.3333333333333;37.3333333333333;56.6666666666667;45.6666666666667;51.3333333333333;65.6666666666667;31.3333333333333;22.6666666666667;66.6666666666667;58.3333333333333
"Female";42;64.6666666666667;37;59.6666666666667;58;64.3333333333333;54.6666666666667;76;50;46.3333333333333;52.6666666666667;40.6666666666667;51.6666666666667;42.6666666666667;26
"Female";33;72;29.6666666666667;60.6666666666667;57;24.6666666666667;63.6666666666667;17.6666666666667;89.6666666666667;31;67;78.6666666666667;59.3333333333333;68.6666666666667;30.3333333333333
"Male";59;77.3333333333333;37;26.6666666666667;51.6666666666667;16;30.3333333333333;80.3333333333333;57.6666666666667;57;39.3333333333333;63.3333333333333;53.3333333333333;48.3333333333333;18.6666666666667
"Female";57;58.3333333333333;51;69;50.3333333333333;47.3333333333333;34.3333333333333;44.6666666666667;53;47.6666666666667;53.6666666666667;46;58.6666666666667;54;58
"Female";48;48.6666666666667;26.6666666666667;46.6666666666667;28.6666666666667;59.6666666666667;51.6666666666667;72.6666666666667;77.3333333333333;61.3333333333333;67;68;68.3333333333333;55.3333333333333;34
"Male";59;62.6666666666667;73.3333333333333;27;61;65;58.6666666666667;75.6666666666667;49.3333333333333;64;67.6666666666667;76.3333333333333;34.6666666666667;93;38
"Male";34;79;69.6666666666667;66.6666666666667;77;58.3333333333333;67.6666666666667;78.6666666666667;84;84.6666666666667;92;70;67.6666666666667;90;24.6666666666667
"Female";26;71.3333333333333;47;74.6666666666667;61.3333333333333;53.3333333333333;56.6666666666667;64;89.3333333333333;49.6666666666667;71.3333333333333;56;34.3333333333333;74.3333333333333;63.6666666666667
"Male";61;72.6666666666667;41.3333333333333;55.3333333333333;70;72.6666666666667;69.3333333333333;57;71;62.6666666666667;74;90;45;82.6666666666667;39.3333333333333
"Female";71;89.3333333333333;36;86;19;29;46.3333333333333;66;65;70;71.3333333333333;80.6666666666667;63.3333333333333;37.6666666666667;28.6666666666667
"Female";57;68.6666666666667;65;86.3333333333333;74;51.6666666666667;37.6666666666667;70.6666666666667;81.6666666666667;78.3333333333333;82.6666666666667;87;49;84;22.6666666666667
"Male";56;64;54.3333333333333;54.3333333333333;69.3333333333333;62.3333333333333;45.6666666666667;48;77.6666666666667;53;69;57;44.3333333333333;77.3333333333333;51
"Male";55;81.6666666666667;37;29;17.6666666666667;19.6666666666667;28.6666666666667;60.3333333333333;44.3333333333333;59.6666666666667;46.6666666666667;65.6666666666667;38.6666666666667;55.3333333333333;35.6666666666667
"Male";68;68;55;54.3333333333333;81;59;51.3333333333333;67;81.6666666666667;45.3333333333333;61.6666666666667;51.3333333333333;38.3333333333333;66;18.6666666666667
"Female";34;39.3333333333333;41.3333333333333;66.6666666666667;77;63.6666666666667;46.3333333333333;27.6666666666667;71.3333333333333;65.3333333333333;71;58.3333333333333;51;50.6666666666667;31.6666666666667
"Female";37;75.6666666666667;63.3333333333333;92;65.3333333333333;36.3333333333333;47;75.3333333333333;81;64.3333333333333;78.6666666666667;85;76;67;32.3333333333333
"Female";42;78.3333333333333;73.3333333333333;72.6666666666667;82.6666666666667;73;62;61;77;57.6666666666667;69.6666666666667;67.3333333333333;58.6666666666667;81.6666666666667;46.6666666666667
"Female";45;79.6666666666667;73;73;83.6666666666667;44;84.6666666666667;78.6666666666667;64.6666666666667;72.6666666666667;66.3333333333333;84;60.6666666666667;55.3333333333333;6
"Female";33;89.6666666666667;52.3333333333333;68.3333333333333;49.3333333333333;19.6666666666667;53;51;77;48;68;45;42.3333333333333;48;49.3333333333333
"Female";47;67.3333333333333;47.6666666666667;48.6666666666667;51.6666666666667;27.3333333333333;76.6666666666667;75.6666666666667;61;69.3333333333333;86;54.3333333333333;13;37.3333333333333;47.6666666666667
"Female";62;62.3333333333333;64;69.3333333333333;70.3333333333333;53.6666666666667;31;26.6666666666667;79.6666666666667;63.6666666666667;64.6666666666667;58.6666666666667;61.3333333333333;44.3333333333333;36.3333333333333
"Female";57;78.3333333333333;66.3333333333333;81;40;32.3333333333333;42.3333333333333;56.6666666666667;58.6666666666667;58;84.6666666666667;59.3333333333333;56;56.6666666666667;34.6666666666667
"Female";63;74.6666666666667;30.6666666666667;70.3333333333333;39.6666666666667;48.6666666666667;50;43.3333333333333;51;56.6666666666667;90.3333333333333;64;26;55.3333333333333;47.3333333333333
